asset_id,asset_type,source,lat,lon,image_date,confidence,triage_reason,image_file,temporal_file,modalities,n_bands,n_timesteps
osm_node_4777662021,energy.distribution.substation,stac_sentinel2_ms+sentinel1,-4.7099575,55.4822859,2024-12-31,high,All signals within expected range,osm_node_4777662021_stac_sentinel2_ms+sentinel1.npy,,sentinel2_ms+sentinel1,9,1
osm_node_2411884625,energy.distribution.substation,stac_sentinel2_ms+sentinel1,12.4622052,-1.5522471,2024-12-31,high,All signals within expected range,osm_node_2411884625_stac_sentinel2_ms+sentinel1.npy,,sentinel2_ms+sentinel1,9,1
osm_node_3605463946,energy.distribution.substation,stac_sentinel2_ms+sentinel1,4.7921761,7.0541477,2024-12-31,high,All signals within expected range,osm_node_3605463946_stac_sentinel2_ms+sentinel1.npy,,sentinel2_ms+sentinel1,9,1
osm_node_5188682766,energy.distribution.substation,stac_sentinel2_ms+sentinel1,30.0668957,31.2160635,2024-12-31,high,All signals within expected range,osm_node_5188682766_stac_sentinel2_ms+sentinel1.npy,,sentinel2_ms+sentinel1,9,1
osm_node_6124914035,energy.distribution.substation,stac_sentinel2_ms+sentinel1,-4.3521447,15.3582349,2024-12-31,high,All signals within expected range,osm_node_6124914035_stac_sentinel2_ms+sentinel1.npy,,sentinel2_ms+sentinel1,9,1
osm_node_4799026031,energy.distribution.substation,stac_sentinel2_ms+sentinel1,5.3128484,-4.1041716,2024-12-31,high,All signals within expected range,osm_node_4799026031_stac_sentinel2_ms+sentinel1.npy,,sentinel2_ms+sentinel1,9,1
osm_way_84272553,energy.distribution.substation,stac_sentinel2_ms+sentinel1,-25.7615685,28.075945760000003,2024-12-31,high,All signals within expected range,osm_way_84272553_stac_sentinel2_ms+sentinel1.npy,,sentinel2_ms+sentinel1,9,1
osm_way_83950321,energy.distribution.substation,stac_sentinel2_ms+sentinel1,-26.109196766666667,28.353929716666666,2024-12-31,high,All signals within expected range,osm_way_83950321_stac_sentinel2_ms+sentinel1.npy,,sentinel2_ms+sentinel1,9,1
osm_way_83990887,energy.distribution.substation,stac_sentinel2_ms+sentinel1,-26.018032166666668,28.24069214,2024-12-31,high,All signals within expected range,osm_way_83990887_stac_sentinel2_ms+sentinel1.npy,,sentinel2_ms+sentinel1,9,1
osm_way_84273857,energy.distribution.substation,stac_sentinel2_ms+sentinel1,-25.82876245,28.18852622,2024-12-31,high,All signals within expected range,osm_way_84273857_stac_sentinel2_ms+sentinel1.npy,,sentinel2_ms+sentinel1,9,1
osm_way_83990904,energy.distribution.substation,stac_sentinel2_ms+sentinel1,-26.0225212,28.283275479999997,2024-12-31,high,All signals within expected range,osm_way_83990904_stac_sentinel2_ms+sentinel1.npy,,sentinel2_ms+sentinel1,9,1
osm_way_68225062,energy.distribution.substation,stac_sentinel2_ms+sentinel1,-21.2828543,55.462958359999995,2024-12-31,high,All signals within expected range,osm_way_68225062_stac_sentinel2_ms+sentinel1.npy,,sentinel2_ms+sentinel1,9,1
osm_way_62218062,energy.distribution.substation,stac_sentinel2_ms+sentinel1,-33.98776925714286,18.53788817142857,2024-12-31,high,All signals within expected range,osm_way_62218062_stac_sentinel2_ms+sentinel1.npy,,sentinel2_ms+sentinel1,9,1
osm_way_84084641,energy.distribution.substation,stac_sentinel2_ms+sentinel1,-26.153554316666668,28.27611416666667,2024-12-31,high,All signals within expected range,osm_way_84084641_stac_sentinel2_ms+sentinel1.npy,,sentinel2_ms+sentinel1,9,1
osm_way_84198444,energy.distribution.substation,stac_sentinel2_ms+sentinel1,-25.77030052857143,28.112072057142857,2024-12-31,high,All signals within expected range,osm_way_84198444_stac_sentinel2_ms+sentinel1.npy,,sentinel2_ms+sentinel1,9,1
