lat,lon,asset_id,region,pc_explorer_url
31.7457725,13.9874341,osm_node_12532142917,africa,"https://planetarycomputer.microsoft.com/explore?c=13.9874,31.7458&z=14&v=2&d=sentinel-2-l2a&m=Most+recent+(low+cloud)"
-25.886285128571426,29.058626614285714,osm_way_252923211,africa,"https://planetarycomputer.microsoft.com/explore?c=29.0586,-25.8863&z=14&v=2&d=sentinel-2-l2a&m=Most+recent+(low+cloud)"
-23.25810766923077,30.685068846153847,osm_way_224176603,africa,"https://planetarycomputer.microsoft.com/explore?c=30.6851,-23.2581&z=14&v=2&d=sentinel-2-l2a&m=Most+recent+(low+cloud)"
36.65844696,3.40513192,osm_way_768689876,africa,"https://planetarycomputer.microsoft.com/explore?c=3.4051,36.6584&z=14&v=2&d=sentinel-2-l2a&m=Most+recent+(low+cloud)"
-27.766262919999996,22.97791792,osm_way_202211441,africa,"https://planetarycomputer.microsoft.com/explore?c=22.9779,-27.7663&z=14&v=2&d=sentinel-2-l2a&m=Most+recent+(low+cloud)"
-27.41896804,30.87416128,osm_way_270262488,africa,"https://planetarycomputer.microsoft.com/explore?c=30.8742,-27.4190&z=14&v=2&d=sentinel-2-l2a&m=Most+recent+(low+cloud)"
24.1982024,23.26160334,osm_way_220947752,africa,"https://planetarycomputer.microsoft.com/explore?c=23.2616,24.1982&z=14&v=2&d=sentinel-2-l2a&m=Most+recent+(low+cloud)"
28.1285207,-16.529722,osm_node_1886875949,africa,"https://planetarycomputer.microsoft.com/explore?c=-16.5297,28.1285&z=14&v=2&d=sentinel-2-l2a&m=Most+recent+(low+cloud)"
-22.52585794,17.00512522,osm_way_1155060406,africa,"https://planetarycomputer.microsoft.com/explore?c=17.0051,-22.5259&z=14&v=2&d=sentinel-2-l2a&m=Most+recent+(low+cloud)"
32.851475619999995,13.32669126,osm_way_1117094467,africa,"https://planetarycomputer.microsoft.com/explore?c=13.3267,32.8515&z=14&v=2&d=sentinel-2-l2a&m=Most+recent+(low+cloud)"
38.349223280000004,117.31804202000001,osm_way_713927856,asia,"https://planetarycomputer.microsoft.com/explore?c=117.3180,38.3492&z=14&v=2&d=sentinel-2-l2a&m=Most+recent+(low+cloud)"
42.00908365,122.8714597625,osm_way_748660129,asia,"https://planetarycomputer.microsoft.com/explore?c=122.8715,42.0091&z=14&v=2&d=sentinel-2-l2a&m=Most+recent+(low+cloud)"
53.64481548,74.24181154,osm_way_357579518,asia,"https://planetarycomputer.microsoft.com/explore?c=74.2418,53.6448&z=14&v=2&d=sentinel-2-l2a&m=Most+recent+(low+cloud)"
35.34574858,139.44189824,osm_way_581504217,asia,"https://planetarycomputer.microsoft.com/explore?c=139.4419,35.3457&z=14&v=2&d=sentinel-2-l2a&m=Most+recent+(low+cloud)"
