lat,lon,asset_id,region
56.7940477,60.5163425,osm_node_2418971741,asia
-6.1151464,106.7741243,osm_node_2479762402,asia
56.9406064,44.3395737,osm_node_3086704672,asia
56.953946,44.3693285,osm_node_3086719172,asia
54.5518917,41.6369737,osm_node_3300678247,asia
32.3825243,74.4260193,osm_node_3500892267,asia
62.527433,113.9654671,osm_node_3796190474,asia
64.5333299,40.5536688,osm_node_4147609387,asia
56.3277368,101.7699471,osm_node_4268735660,asia
56.1426254,101.4581884,osm_node_4335874345,asia
56.3648349,101.8462918,osm_node_4335874375,asia
53.6495519,91.334128,osm_node_4804885921,asia
53.9769037,90.9749527,osm_node_4828191822,asia
53.7595481,91.3962578,osm_node_4829770521,asia
-6.3345329,106.8829246,osm_node_4916071246,asia
-6.1252317,106.8780289,osm_node_5038182238,asia
-6.1319767,106.8460505,osm_node_5066143881,asia
-6.1308535,106.8712053,osm_node_5068568160,asia
64.5090348,40.6954166,osm_node_5137256630,asia
64.530995,40.6021295,osm_node_5174463322,asia
27.1482796,87.7686091,osm_node_5308402576,asia
60.7527683,46.1868172,osm_node_6143733895,asia
56.3363546,43.9159779,osm_node_6543504513,asia
31.5811797,65.4245631,osm_node_6606352995,asia
11.0483604,75.9463849,osm_node_7513437727,asia
38.2617247,140.8730855,osm_node_8272640427,asia
25.5597856,85.0445983,osm_node_8411203148,asia
8.4692023,124.6006484,osm_node_8723717714,asia
24.7950273,73.0488954,osm_node_8918165356,asia
8.8248867,76.9454112,osm_node_9373568255,asia
37.5358559,127.0956959,osm_node_10083209052,asia
37.4853239,127.0273459,osm_node_10083524140,asia
37.4883083,127.0541016,osm_node_10083524142,asia
37.4858239,127.0123696,osm_node_10083524143,asia
37.4947762,127.1184572,osm_node_10083524155,asia
37.5219607,126.9060309,osm_node_10088342981,asia
37.5657436,126.9990474,osm_node_10088748807,asia
37.5775814,126.9890131,osm_node_10089413567,asia
37.6827952,127.0464713,osm_node_10089413579,asia
37.5625142,126.9324572,osm_node_10089413580,asia
43.5002218,43.5943428,osm_node_10239349882,asia
43.5014694,43.6342017,osm_node_10239349898,asia
43.4971209,43.5891567,osm_node_10239357527,asia
43.4774778,43.5722642,osm_node_10239357538,asia
35.727337,139.7138952,osm_node_10698668596,asia
25.2782796,111.3447336,osm_node_10899170949,asia
30.5706236,104.0566334,osm_node_10967877118,asia
24.3972393,115.7118771,osm_node_11516919477,asia
55.7924536,49.1214924,osm_node_13002498735,asia
28.5400351,77.2935286,osm_node_13061138064,asia
28.4775753,77.0934338,osm_node_13176664027,asia
28.6334135,77.224163,osm_node_13447649970,asia
24.348244649999998,54.592778216666666,osm_way_29503687,asia
24.29368428,54.6610185,osm_way_29504133,asia
53.547256000000004,49.31889998571428,osm_way_29979877,asia
7.06053405,125.5525564,osm_way_34948290,asia
35.548866616666665,139.45007225,osm_way_35907491,asia
26.316685319999998,50.1233646,osm_way_37411449,asia
53.35269493333333,50.20937379166667,osm_way_40699450,asia
35.40606357142857,136.2703732142857,osm_way_42745332,asia
56.28535038,44.07097304,osm_way_44938468,asia
35.61196197142858,139.46949954285714,osm_way_47109468,asia
35.61032951666667,139.60244120000002,osm_way_47362955,asia
