asset_id,asset_type,lat,lon,name,source
osm_node_835974331,power_substation,46.9992855,-67.6098617,,osm
osm_node_870093815,power_substation,45.6558585,-67.1329224,,osm
osm_node_872066631,power_substation,45.89155,-67.4576832,,osm
osm_node_878162061,power_substation,46.0923151,-67.2207887,,osm
osm_node_1199200138,power_substation,46.9170349,-71.0553065,,osm
osm_node_1199238114,power_substation,46.9261024,-71.0639146,,osm
osm_node_1199283038,power_substation,46.9167973,-71.0556808,,osm
osm_node_1199354683,power_substation,46.9173266,-71.0550153,,osm
osm_node_1638094603,power_substation,46.4474012,-67.6133033,,osm
osm_node_1638464411,power_substation,46.312476,-67.5352254,,osm
osm_node_1642495706,power_substation,46.5456126,-67.2207869,,osm
osm_node_2219439100,power_substation,44.9475448,-66.971315,,osm
osm_node_7367556920,power_substation,44.0135165,-70.9718339,,osm
osm_node_12641214584,power_substation,44.8524514,-69.9076361,,osm
osm_way_28338849,power_substation,43.1362005,-70.9365454,UNH 1 & UNH 2 Substation,osm
osm_way_66781557,power_substation,47.0615821,-67.7585914,,osm
osm_way_66782544,power_substation,47.1732169,-67.9093956,Saint-Léonard Substation,osm
osm_way_66785775,power_substation,47.0432404,-67.7366196,,osm
osm_way_66785781,power_substation,47.0503657,-67.7157747,,osm
osm_way_66785783,power_substation,47.0357993,-67.7409615,,osm
osm_way_69961657,power_substation,46.950679,-67.7091303,,osm
osm_way_77025816,power_substation,45.187328,-67.3126196,Arauco,osm
osm_way_77048523,power_substation,45.8339852,-71.0755621,Poste Lambton,osm
osm_way_77049347,power_substation,45.1573736,-67.1325705,,osm
osm_way_81632528,power_substation,43.0088705,-70.8867841,Great Bay Substation,osm
osm_way_81855154,power_substation,43.1602781,-70.9312965,Madbury Substation,osm
osm_way_81936793,power_substation,43.0426832,-70.8150573,Ocean Road Substation,osm
osm_way_81936800,power_substation,43.0422611,-70.8132274,Ocean Road Substation,osm
osm_way_82004992,power_substation,43.931889,-70.2033148,Surowiec Substation,osm
osm_way_82045169,power_substation,43.1106705,-70.9404373,,osm
osm_way_83055889,power_substation,43.1429971,-70.9478196,,osm
osm_way_83128194,power_substation,43.129098,-70.9380161,,osm
osm_way_83276714,power_substation,43.0285881,-71.0733001,,osm
osm_way_84675189,power_substation,43.0970434,-70.7984285,,osm
osm_way_84790909,power_substation,43.0981229,-70.7924085,Newington 345kV Substation,osm
osm_way_88556810,power_substation,43.0929108,-70.778677,Resistance Substation,osm
osm_way_95920822,power_substation,43.0837469,-70.7406688,,osm
osm_way_98797444,power_substation,45.9656607,-70.9306538,Poste St-Évariste,osm
osm_way_99313688,power_substation,47.4604216,-69.1608746,Poste de Sully,osm
osm_way_99968103,power_substation,46.2245977,-70.7953566,Poste de Beauceville,osm
osm_way_99973038,power_substation,46.208972,-70.7698399,Poste de Beauceville-Est,osm
osm_way_100578784,power_substation,46.4050115,-70.5219915,Poste de Sainte-Germaine,osm
osm_way_100581577,power_substation,46.3141913,-70.8668718,Poste de Saint-Joseph,osm
osm_way_100582397,power_substation,46.44355,-70.9950391,Poste de Sainte-Marie,osm
osm_way_104074122,power_substation,46.6465463,-70.796992,Poste de St-Lazare,osm
osm_way_104075787,power_substation,46.5982619,-70.9193914,Poste Sainte-Claire,osm
osm_way_104320770,power_substation,46.9634461,-70.5265955,Poste de Montmagny,osm
osm_way_104325094,power_substation,46.9715926,-70.5689746,Poste Taché,osm
osm_way_104416814,power_substation,46.5654016,-70.0930393,Poste de Daaquam,osm
osm_way_104578521,power_substation,47.0345964,-70.904142,Poste de Sainte-Anne-de-Beaupré,osm
osm_way_104714020,power_substation,47.0892264,-70.3601879,Poste de L'Islet,osm
osm_way_114913874,power_substation,43.1981854,-70.8634792,Dover Substation,osm
osm_way_114914024,power_substation,43.1978333,-70.864181,,osm
osm_way_116291773,power_substation,45.2435851,-67.1955244,Oak Bay,osm
osm_way_116403720,power_substation,45.08611,-67.0662493,,osm
osm_way_130000598,power_substation,44.1512623,-70.2085676,Gulf Island Substation,osm
osm_way_130810372,power_substation,44.0602389,-69.5271707,,osm
osm_way_131157449,power_substation,45.6329452,-68.6057112,,osm
osm_way_131359903,power_substation,44.9590388,-69.8710615,Williams Hydro Substation,osm
osm_way_131558870,power_substation,44.1348845,-70.2043775,,osm
osm_way_132595742,power_substation,45.4835913,-67.9936457,Stetson Substation,osm
osm_way_133338788,power_substation,45.4040898,-68.364734,Rollins Substation,osm
osm_way_133434241,power_substation,43.6873234,-70.6108978,,osm
osm_way_133801192,power_substation,44.7635612,-69.7210342,,osm
